eid,idfrom,idto,edgelabel,edgeattribute
Edge_001,gly,b2808,CPI,negative
Edge_002,b4443,b0131,sRGI,inhibition
Edge_003,b4443,b3744,sRGI,inhibition
Edge_004,b4443,b0674,sRGI,inhibition
Edge_005,b4443,b4208,sRGI,inhibition
Edge_006,b4443,b2237,sRGI,inhibition
Edge_007,b4443,b0889,sRGI,inhibition
Edge_008,b4443,b3661,sRGI,inhibition
Edge_009,b4443,b3089,sRGI,inhibition
Edge_010,b4443,b1920,sRGI,inhibition
Edge_011,b4443,b3830,sRGI,inhibition
Edge_012,b0889,b2670,TFGI,activator
Edge_013,b0889,b1241,TFGI,repressor
Edge_014,b0889,b4187,TFGI,repressor
Edge_015,b0889,b2290,TFGI,repressor
Edge_016,b0889,b3853,TFGI,repressor
Edge_017,b0889,b3276,TFGI,repressor
Edge_018,b0889,b0203,TFGI,repressor
Edge_019,b0889,b2923,TFGI,activator
Edge_020,b0889,b0908,TFGI,activator
Edge_021,b0889,b3572,TFGI,repressor
Edge_022,b0889,b4131,TFGI,activator
Edge_023,b0889,b4132,TFGI,activator
Edge_024,b0889,b1189,TFGI,repressor
Edge_025,b0889,b1190,TFGI,repressor
Edge_026,b0889,b2912,TFGI,repressor
Edge_027,b0889,b4314,TFGI,activator
Edge_028,b0889,b4316,TFGI,activator
Edge_029,b0889,b4317,TFGI,activator
Edge_030,b0889,b4313,TFGI,activator
Edge_031,b0889,b4318,TFGI,activator
Edge_032,b0889,b4319,TFGI,activator
Edge_033,b0889,b4320,TFGI,activator
Edge_034,b0889,b4315,TFGI,activator
Edge_035,b0889,b2661,TFGI,activator
Edge_036,b0889,b2663,TFGI,activator
Edge_037,b0889,b2662,TFGI,activator
Edge_038,b0889,b2904,TFGI,activator
Edge_039,b0889,b2903,TFGI,activator
Edge_040,b0889,b2905,TFGI,activator
Edge_041,b0889,b2659,TFGI,activator
Edge_042,b0889,b3212,TFGI,activator
Edge_043,b0889,b3213,TFGI,activator
Edge_044,b0889,b3214,TFGI,activator
Edge_045,b0889,b3969,TFGI,repressor
Edge_046,b0889,b3757,TFGI,repressor
Edge_047,b0889,b4008,TFGI,repressor
Edge_048,b0889,b2590,TFGI,repressor
Edge_049,b0889,b3510,TFGI,repressor
Edge_050,b0889,b3509,TFGI,repressor
Edge_051,b0889,b3852,TFGI,repressor
Edge_052,b0889,b3277,TFGI,repressor
Edge_053,b0889,b0202,TFGI,repressor
Edge_054,b0889,b3772,TFGI,repressor
Edge_055,b0889,b3771,TFGI,repressor
Edge_056,b0889,b3770,TFGI,repressor
Edge_057,b0889,b4488,TFGI,repressor
Edge_058,b0889,b0078,TFGI,repressor
Edge_059,b0889,b0077,TFGI,repressor
Edge_060,b0889,b3766,TFGI,repressor
Edge_061,b0889,b3769,TFGI,repressor
Edge_062,b0889,b4669,TFGI,repressor
Edge_063,b0889,b3617,TFGI,activator
Edge_064,b0889,b1798,TFGI,repressor
Edge_065,b0889,b2660,TFGI,activator
Edge_066,b0889,b3454,TFGI,repressor
Edge_067,b0889,b3455,TFGI,repressor
Edge_068,b0889,b3457,TFGI,repressor
Edge_069,b0889,b3460,TFGI,repressor
Edge_070,b0889,b3458,TFGI,repressor
Edge_071,b0889,b3456,TFGI,repressor
Edge_072,b0889,b0889,TFGI,repressor
Edge_073,b0889,b2156,TFGI,activator
Edge_074,b0889,b4129,TFGI,repressor
Edge_075,b0889,b3418,TFGI,activator
Edge_076,b0889,b4439,TFGI,repressor
Edge_077,b0889,b2215,TFGI,repressor
Edge_078,b0889,b1243,TFGI,repressor
Edge_079,b0889,b1244,TFGI,repressor
Edge_080,b0889,b1245,TFGI,repressor
Edge_081,b0889,b1246,TFGI,repressor
Edge_082,b0889,b1247,TFGI,repressor
Edge_083,b0889,b1482,TFGI,repressor
Edge_084,b0889,b4376,TFGI,repressor
Edge_085,b0889,b4243,TFGI,activator
Edge_086,b0889,b3855,TFGI,repressor
Edge_087,b0889,b3971,TFGI,repressor
Edge_088,b0889,b3759,TFGI,repressor
Edge_089,b0889,b3274,TFGI,repressor
Edge_090,b0889,b4010,TFGI,repressor
Edge_091,b0889,b3272,TFGI,repressor
Edge_092,b0889,b2588,TFGI,repressor
Edge_093,b0889,b0205,TFGI,repressor
Edge_094,b0889,b3854,TFGI,repressor
Edge_095,b0889,b3970,TFGI,repressor
Edge_096,b0889,b3758,TFGI,repressor
Edge_097,b0889,b3275,TFGI,repressor
Edge_098,b0889,b4009,TFGI,repressor
Edge_099,b0889,b2589,TFGI,repressor
Edge_100,b0889,b0204,TFGI,repressor
Edge_101,b0889,b3851,TFGI,repressor
Edge_102,b0889,b3968,TFGI,repressor
Edge_103,b0889,b3756,TFGI,repressor
Edge_104,b0889,b3278,TFGI,repressor
Edge_105,b0889,b4007,TFGI,repressor
Edge_106,b0889,b2591,TFGI,repressor
Edge_107,b0889,b0201,TFGI,repressor
Edge_108,b0889,b1814,TFGI,repressor
Edge_109,b0889,b2913,TFGI,repressor
Edge_110,b0889,b0907,TFGI,activator
Edge_111,b0889,b2911,TFGI,repressor
Edge_112,b0889,b2669,TFGI,activator
Edge_113,b0889,b3616,TFGI,activator
Edge_114,b0889,b3273,TFGI,repressor
Edge_115,b0889,b2163,TFGI,activator
Edge_116,b0889,b3508,TFGI,repressor
Edge_117,b0889,b2211,TFGI,activator
Edge_118,b2905,GLYCL,GRI,
Edge_119,b2905,b2904,PPI,binding
Edge_120,b2904,GLYCL,GRI,
Edge_121,b2904,b2905,PPI,binding
Edge_122,b2904,b4386,PPI,binding
